Name: CCTV1, URL: http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8, Date: 04-06-2024, Resolution: 1920x1080 • Faster, Response Time: 373ms
Name: CCTV1, URL: http://111.75.151.236:50085/newlive/live/hls/1/live.m3u8, Date: 04-02-2024, Resolution: 1920x1080 • Fast, Response Time: 405ms
Name: CCTV1, URL: http://60.174.40.117:9901/tsfile/live/0001_1.m3u8, Date: 04-06-2024, Resolution: 1920x1080 • Faster, Response Time: 419ms
Name: CCTV1, URL: http://123.163.114.224:85/tsfile/live/0001_1.m3u8, Date: 04-06-2024, Resolution: 1920x1080 • Faster, Response Time: 461ms
Name: CCTV1, URL: http://182.122.73.120:8089/hls/1/index.m3u8, Date: 04-06-2024, Resolution: 1920x1080 • Faster, Response Time: 488ms
Name: CCTV1, URL: http://123.14.88.117:8888/hls/1/index.m3u8, Date: 04-07-2024, Resolution: 1920x1080 • Faster, Response Time: 490ms
Name: CCTV1, URL: http://183.191.211.25:8082/rtp/226.0.2.153:9136, Date: 04-06-2024, Resolution: 1920x1080 • Faster, Response Time: 494ms
Name: CCTV1, URL: http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/cctv1hd8m/8000000/mnf.m3u8, Date: 04-07-2024, Resolution: 1920x1080 • Fast, Response Time: 897ms
Name: CCTV1, URL: http://live.chunfei.top/live02/cctv.m3u8?channel=cctvnews, Date: 04-07-2024, Resolution: 1920x1080, Response Time: 962ms
Name: CCTV1, URL: http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/cctv16hd8m/8000000/mnf.m3u8, Date: 04-06-2024, Resolution: 1920x1080 • Fast, Response Time: 1243ms
Name: CCTV1, URL: http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/25137bd7c4494128bf0cba271974928f/1200.m3u8, Date: 04-07-2024, Resolution: 1280x720 • Faster, Response Time: 1072ms
Name: CCTV1, URL: http://121.235.191.182:12999/hls/1/index.m3u8, Date: 04-06-2024, Resolution: 768x576 • Faster, Response Time: 415ms
Name: CCTV1, URL: http://111.11.98.205:9900/hls/1/index.m3u8, Date: 03-14-2024, Resolution:  Faster, Response Time: 348ms
Name: CCTV1, URL: http://219.147.3.106:4455/newlive/live/hls/1/live.m3u8, Date: 04-02-2024, Resolution: None, Response Time: 405ms
Name: CCTV1, URL: http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8, Date: 04-05-2024, Resolution: None, Response Time: 415ms
